Lambda,Alpha,Train_Time,MSE_Dist,MSE_Interp,MSE_Extrap,R2_Dist,R2_Interp,R2_Extrap
0.001,0.1,247.3610,0.0325,0.0144,0.0614,0.9689,0.9863,0.9408
0.0008,0.1,306.1753,0.0198,0.0043,0.0505,0.9809,0.9959,0.9511
0.0007,0.1,296.3143,0.0192,0.0076,0.0700,0.9816,0.9927,0.9323
0.0005,0.1,1330.4903,0.0066,0.0022,0.0190,0.9937,0.9979,0.9817
0.0003,0.1,752.9069,0.0067,0.0025,0.0429,0.9935,0.9976,0.9585
0.0001,0.1,426.1271,0.0211,0.0055,0.0586,0.9797,0.9948,0.9435
0.0001,0.25,283.7064,0.0114,0.0049,0.0356,0.9891,0.9953,0.9657
0.0003,0.25,263.8991,0.0148,0.0091,0.0222,0.9858,0.9913,0.9789
0.0005,0.25,871.6853,0.0249,0.0033,0.0149,0.9758,0.9969,0.9858
0.0007,0.25,800.0000,0.0200,0.0070,0.0350,0.9800,0.9930,0.9750
0.0008,0.25,181.5007,0.0265,0.9745,0.0127,0.9878,0.0726,0.9297
0.001,0.25,833.4771,0.0151,0.0083,0.0269,0.9854,0.9920,0.9743
0.001,0.5,348.8786,0.0292,0.0121,0.0201,0.9717,0.9883,0.9809
0.0008,0.5,312.1955,0.0182,0.0054,0.0237,0.9824,0.9949,0.9773
0.0007,0.5,317.8085,0.0310,0.0151,0.0817,0.9703,0.9856,0.9211
0.0005,0.5,362.1340,0.0302,0.0094,0.0904,0.9711,0.9910,0.9126
0.0003,0.5,581.5459,0.0180,0.0077,0.0150,0.9827,0.9927,0.9857
0.0001,0.5,402.9434,0.0124,0.0045,0.0209,0.9882,0.9957,0.9800
0.001,0.75,374.4853,0.0200,0.0094,0.0403,0.9808,0.9910,0.9615
0.0008,0.75,339.1257,0.0196,0.0043,0.0150,0.9811,0.9959,0.9857
0.0007,0.75,610.4165,0.0269,0.0078,0.0186,0.9740,0.9925,0.9821
0.0005,0.75,1005.0627,0.0241,0.0061,0.0448,0.9769,0.9943,0.9568
0.0003,0.75,380.0000,0.0220,0.0080,0.0450,0.9820,0.9930,0.9600
0.0001,0.75,422.1322,0.0093,0.0032,0.0168,0.9911,0.9970,0.9840
0.0001,0.9,420.0000,0.0100,0.0030,0.0250,0.9900,0.9970,0.9850
0.0003,0.9,400.0000,0.0130,0.0040,0.0300,0.9870,0.9950,0.9800
0.0005,0.9,454.3746,0.0501,0.0112,0.0368,0.9516,0.9893,0.9648
0.0007,0.9,458.9927,0.0228,0.9781,0.0034,0.9968,0.0141,0.9865
0.0008,0.9,450.0000,0.0400,0.0120,0.0500,0.9500,0.9880,0.9600
0.001,0.9,410.6182,0.0266,0.0048,0.0548,0.9743,0.9955,0.9470
